tender_id,requirement_text,is_mandatory,restrictiveness_score
PHED-2024-009,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPRDC-2024-009,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPMKVV-2024-011,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-009,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PWD-2024-010,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PWD-2024-011,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPMKVV-2024-012,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-008,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPMKVV-2024-013,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PWD-2024-012,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPMKVV-2024-014,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
PHED-2024-010,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
WRD-2024-010,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PHED-2024-011,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
MPMKVV-2024-015,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPRDC-2024-010,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
WRD-2024-011,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
UADD-2024-009,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
WRD-2024-012,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPMKVV-2024-016,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
UADD-2024-010,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-011,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
WRD-2024-013,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
WRD-2024-014,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
UADD-2024-012,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPMKVV-2024-017,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
PWD-2024-013,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-014,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
UADD-2024-013,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPMKVV-2024-018,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPMKVV-2024-019,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-015,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
MPRDC-2024-011,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPMKVV-2024-020,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
WRD-2024-016,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
PHED-2024-012,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
UADD-2024-014,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PWD-2024-015,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PHED-2024-013,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PHED-2024-014,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-021,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPRDC-2024-012,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-015,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPMKVV-2024-022,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
WRD-2024-017,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-016,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPMKVV-2024-023,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
PWD-2024-017,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-013,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPMKVV-2024-024,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPRDC-2024-014,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
UADD-2024-016,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
WRD-2024-018,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPRDC-2024-015,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PWD-2024-018,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PHED-2024-015,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
UADD-2024-017,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PWD-2024-019,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
WRD-2024-019,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPRDC-2024-016,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PHED-2024-016,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
WRD-2024-020,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
UADD-2024-018,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPMKVV-2024-025,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
WRD-2024-021,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
PWD-2024-020,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
UADD-2024-019,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPRDC-2024-017,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
WRD-2024-022,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-020,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-021,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
PHED-2024-017,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
UADD-2024-022,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
WRD-2024-023,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
PHED-2024-018,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPRDC-2024-018,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPRDC-2024-019,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
PWD-2024-021,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-026,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PHED-2024-019,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
UADD-2024-023,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PWD-2024-022,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPRDC-2024-020,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PWD-2024-023,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
UADD-2024-024,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPRDC-2024-021,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPMKVV-2024-027,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-024,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PWD-2024-025,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
MPMKVV-2024-028,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-025,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPRDC-2024-022,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPMKVV-2024-029,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-026,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPRDC-2024-023,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPRDC-2024-024,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
UADD-2024-026,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPRDC-2024-025,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
PHED-2024-020,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-030,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-031,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
MPRDC-2024-026,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PHED-2024-021,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
WRD-2024-024,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
MPMKVV-2024-032,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-033,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
UADD-2024-027,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
MPRDC-2024-027,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPRDC-2024-028,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-027,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
UADD-2024-028,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PWD-2024-028,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PWD-2024-029,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
PWD-2024-030,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PWD-2024-031,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
WRD-2024-025,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
PHED-2024-022,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
UADD-2024-029,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-029,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
MPMKVV-2024-034,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPMKVV-2024-035,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPMKVV-2024-036,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PHED-2024-023,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
UADD-2024-030,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPMKVV-2024-037,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PHED-2024-024,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
UADD-2024-031,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PHED-2024-025,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
MPRDC-2024-030,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PHED-2024-026,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-026,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
WRD-2024-027,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PHED-2024-027,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPMKVV-2024-038,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
MPRDC-2024-031,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPRDC-2024-032,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PWD-2024-032,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
MPRDC-2024-033,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-028,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPRDC-2024-034,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
UADD-2024-032,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-029,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPRDC-2024-035,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
WRD-2024-030,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PHED-2024-028,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PHED-2024-029,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
MPMKVV-2024-039,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PHED-2024-030,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-031,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
PHED-2024-031,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-036,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPMKVV-2024-040,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
WRD-2024-032,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
UADD-2024-033,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PHED-2024-032,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
UADD-2024-034,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PWD-2024-033,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPRDC-2024-037,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
PWD-2024-034,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-033,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PWD-2024-035,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
WRD-2024-034,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPMKVV-2024-041,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PHED-2024-033,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
MPMKVV-2024-042,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPRDC-2024-038,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
UADD-2024-035,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
PHED-2024-034,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PHED-2024-035,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-036,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
WRD-2024-035,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PHED-2024-036,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PWD-2024-037,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
PHED-2024-037,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PWD-2024-038,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PWD-2024-039,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PHED-2024-038,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PWD-2024-040,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PHED-2024-039,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
PHED-2024-040,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPRDC-2024-039,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPRDC-2024-040,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PHED-2024-041,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-036,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-041,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
PHED-2024-042,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-041,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
UADD-2024-037,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
UADD-2024-038,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPRDC-2024-042,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-043,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
WRD-2024-036,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
PHED-2024-043,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
WRD-2024-037,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
WRD-2024-038,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-043,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
WRD-2024-039,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
PWD-2024-042,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PWD-2024-043,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
WRD-2024-040,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
WRD-2024-041,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
UADD-2024-039,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-040,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
PHED-2024-044,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPRDC-2024-044,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-042,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPMKVV-2024-044,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PWD-2024-044,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
WRD-2024-043,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
MPRDC-2024-045,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
WRD-2024-044,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
UADD-2024-041,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
MPRDC-2024-046,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-047,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
UADD-2024-042,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
UADD-2024-043,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
MPMKVV-2024-045,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
MPMKVV-2024-046,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
PHED-2024-045,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
UADD-2024-044,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
WRD-2024-045,Bidder must have experience of working exactly in the tribal belts of Eastern MP for 12.5 years.,1,0.7186
MPRDC-2024-048,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
PHED-2024-046,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
MPMKVV-2024-047,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
MPMKVV-2024-048,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
MPMKVV-2024-049,Bidders must provide an undertaking that they have not been blacklisted by any government agency.,1,0.4547
PWD-2024-045,"Bidder must have completed a project using 'SpecificModel-X' technology, owned by local distributors.",1,0.75
UADD-2024-045,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PHED-2024-047,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PHED-2024-048,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
UADD-2024-046,Minimum annual turnover of the bidder should be at least 50% of the estimated tender value.,1,0.4232
UADD-2024-047,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PHED-2024-049,The CEO of the bidding firm must have been a member of the local trade council for over 10 years.,1,0.3888
PWD-2024-046,The bidder must possess a valid Class-A contractor license from the state government.,1,0.4611
PWD-2024-047,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPRDC-2024-049,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
WRD-2024-046,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
PHED-2024-050,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
WRD-2024-047,Experience in building exactly 3 bridges of length exceeding 45.7 meters in a single year is mandatory.,1,0.8258
MPMKVV-2024-050,Submission of Earnest Money Deposit (EMD) is mandatory via Nationalized Bank Draft.,1,0.4087
MPMKVV-2024-051,Bidders must have successfully completed at least three similar projects in the last 5 years.,1,0.4451
UADD-2024-048,The technical partner must be registered within a 5km radius of the project site office.,1,0.8613
