company_id,company_name,reg_address,location,incorporation_date,email,phone_number,authorized_capital,status
23MYIXR1872Q1ZG,MP Projects Pvt Ltd,"Sector C, Rewa",Rewa,2017-09-10,admin@mpprojectspvtltd.in,+91-7424568673,100000,Active
23CKOCB8340D1ZC,Malwa Buildcon Pvt Ltd,"Sector B, Ujjain",Ujjain,2014-11-05,admin@malwabuildconpvtltd.in,+91-9174226020,100000,Active
23TSSUM2286M1Z5,Elite Enterprises Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2017-02-19,admin@eliteenterprisespvtltd.in,+91-9087557479,100000,Active
23JWRLZ1040W1Z5,Apex Associates Pvt Ltd,"Sector A, Indore",Indore,2017-12-05,admin@apexassociatespvtltd.in,+91-9907759391,100000,Active
23NPKPN3733S1Z3,Bhoj Projects Pvt Ltd,"Sector C, Satna",Satna,2015-01-14,admin@bhojprojectspvtltd.in,+91-8813096068,1000000,Active
23JZCJA2830D1ZQ,Satpura Infrastructure Pvt Ltd,"Sector B, Satna",Satna,2017-03-06,admin@satpurainfrastructurepvtltd.in,+91-7412931233,100000,Active
23EDKEB6539F1Z5,Elite Buildcon Pvt Ltd,"Sector B, Indore",Indore,2021-04-22,admin@elitebuildconpvtltd.in,+91-8147840048,5000000,Active
23UPNKV3607N1ZT,Elite Enterprises Pvt Ltd,"Sector B, Satna",Satna,2017-08-25,admin@eliteenterprisespvtltd.in,+91-9354327204,500000,Active
23VKASX4991E1ZC,Vindhya Associates Pvt Ltd,"Sector B, Indore",Indore,2020-10-30,admin@vindhyaassociatespvtltd.in,+91-9741088948,100000,Active
23THSTJ9483A1Z9,Elite Projects Pvt Ltd,"Sector A, Gwalior",Gwalior,2014-04-09,admin@eliteprojectspvtltd.in,+91-8042464147,100000,Active
23DPUEI9765O1ZM,MP Enterprises Pvt Ltd,"Sector A, Ratlam",Ratlam,2019-10-27,admin@mpenterprisespvtltd.in,+91-9319557859,5000000,Active
23CRTPI0249D1ZI,Vindhya Projects Pvt Ltd,"Sector B, Indore",Indore,2019-06-21,admin@vindhyaprojectspvtltd.in,+91-9903014702,5000000,Active
23ZSIFI6672S1ZU,Narmada Associates Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2021-07-07,admin@narmadaassociatespvtltd.in,+91-9614025036,500000,Active
23MXQDI2933R1Z9,Satpura Enterprises Pvt Ltd,"Sector B, Dewas",Dewas,2017-09-21,admin@satpuraenterprisespvtltd.in,+91-8697252064,5000000,Active
23VNWOM7740N1ZT,Elite Projects Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2020-11-18,admin@eliteprojectspvtltd.in,+91-8044347424,500000,Active
23JOZDF0452K1ZH,Vindhya Enterprises Pvt Ltd,"Sector A, Ratlam",Ratlam,2016-07-23,admin@vindhyaenterprisespvtltd.in,+91-7814172355,100000,Active
23UILLS1931J1ZY,MP Infrastructure Pvt Ltd,"Sector A, Sagar",Sagar,2022-04-25,admin@mpinfrastructurepvtltd.in,+91-8406072957,1000000,Active
23KBRSS2056R1ZV,Apex Infrastructure Pvt Ltd,"Sector A, Jabalpur",Jabalpur,2019-07-06,admin@apexinfrastructurepvtltd.in,+91-9670124306,5000000,Active
23UGFIL7711I1ZP,Vindhya Associates Pvt Ltd,"Sector B, Sagar",Sagar,2021-11-09,admin@vindhyaassociatespvtltd.in,+91-9304221295,5000000,Active
23DLCKE0983N1ZB,Bhoj Infrastructure Pvt Ltd,"Sector A, Sagar",Sagar,2020-12-28,admin@bhojinfrastructurepvtltd.in,+91-7499982901,5000000,Active
23RHYIJ8596E1ZX,Bhoj Associates Pvt Ltd,"Sector B, Sagar",Sagar,2017-06-07,admin@bhojassociatespvtltd.in,+91-7458442122,100000,Active
23MUTWH6274P1ZR,Elite Infrastructure Pvt Ltd,"Sector C, Ujjain",Ujjain,2016-04-19,admin@eliteinfrastructurepvtltd.in,+91-7411987155,500000,Active
23IAZIG3511W1ZH,Elite Buildcon Pvt Ltd,"Sector B, Bhopal",Bhopal,2017-03-08,admin@elitebuildconpvtltd.in,+91-7137615260,500000,Active
23YVZDN8099P1ZV,Elite Infrastructure Pvt Ltd,"Sector A, Satna",Satna,2018-02-02,admin@eliteinfrastructurepvtltd.in,+91-7075032922,500000,Active
23KXIAT8058M1Z5,Elite Construct Pvt Ltd,"Sector A, Dewas",Dewas,2018-10-26,admin@eliteconstructpvtltd.in,+91-8734567845,100000,Active
23IPZHZ6101K1ZD,Bhoj Buildcon Pvt Ltd,"Sector C, Jabalpur",Jabalpur,2018-11-17,admin@bhojbuildconpvtltd.in,+91-7180152850,500000,Active
23VYOZS3291W1ZH,Narmada Infrastructure Pvt Ltd,"Sector C, Dewas",Dewas,2019-03-29,admin@narmadainfrastructurepvtltd.in,+91-9585243545,1000000,Active
23ZIAOF2808I1ZM,Narmada Buildcon Pvt Ltd,"Sector A, Ratlam",Ratlam,2016-07-13,admin@narmadabuildconpvtltd.in,+91-7946033468,100000,Active
23GVGCR8316C1Z8,Satpura Construct Pvt Ltd,"Sector A, Sagar",Sagar,2019-06-11,admin@satpuraconstructpvtltd.in,+91-8840405443,1000000,Active
23OXKTH6843S1ZJ,Elite Buildcon Pvt Ltd,"Sector B, Sagar",Sagar,2016-03-24,admin@elitebuildconpvtltd.in,+91-8747033496,500000,Active
23UFNCT6024H1ZV,Malwa Enterprises Pvt Ltd,"Sector C, Rewa",Rewa,2016-01-26,admin@malwaenterprisespvtltd.in,+91-9005684213,100000,Active
23CEVNN7460X1ZD,Elite Construct Pvt Ltd,"Sector A, Sagar",Sagar,2017-08-04,admin@eliteconstructpvtltd.in,+91-9136074593,5000000,Active
23PQVUP4756W1Z8,Malwa Associates Pvt Ltd,"Sector A, Rewa",Rewa,2022-07-29,admin@malwaassociatespvtltd.in,+91-9360260114,5000000,Active
23NHCIB2456J1ZB,Malwa Projects Pvt Ltd,"Sector C, Rewa",Rewa,2020-08-30,admin@malwaprojectspvtltd.in,+91-9483148099,1000000,Active
23VTQEU9059C1ZO,Apex Construct Pvt Ltd,"Sector A, Dewas",Dewas,2019-09-30,admin@apexconstructpvtltd.in,+91-7920307916,1000000,Active
23IBXYS3873L1Z7,Narmada Associates Pvt Ltd,"Sector C, Satna",Satna,2019-07-20,admin@narmadaassociatespvtltd.in,+91-7231055676,1000000,Active
23DONZZ4094C1ZB,MP Enterprises Pvt Ltd,"Sector A, Ratlam",Ratlam,2022-12-11,admin@mpenterprisespvtltd.in,+91-8865778285,500000,Active
23RXEYO2561Q1ZA,Vindhya Associates Pvt Ltd,"Sector C, Satna",Satna,2015-12-08,admin@vindhyaassociatespvtltd.in,+91-8579641462,5000000,Active
23ZJEQD5962R1ZX,MP Buildcon Pvt Ltd,"Sector A, Rewa",Rewa,2016-11-01,admin@mpbuildconpvtltd.in,+91-7777505920,5000000,Active
23MQSZH1307M1ZM,Satpura Enterprises Pvt Ltd,"Sector A, Sagar",Sagar,2021-08-23,admin@satpuraenterprisespvtltd.in,+91-7539427322,500000,Active
23IYBSK9427P1ZC,Bhoj Associates Pvt Ltd,"Sector B, Gwalior",Gwalior,2018-12-10,admin@bhojassociatespvtltd.in,+91-9814134794,1000000,Active
23IXNTC9377A1ZW,Malwa Construct Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2016-12-29,admin@malwaconstructpvtltd.in,+91-9024916026,500000,Active
23YBDQO6210O1Z2,Bhoj Associates Pvt Ltd,"Sector A, Indore",Indore,2020-03-28,admin@bhojassociatespvtltd.in,+91-8599403814,5000000,Active
23WVXWR4500B1ZI,Elite Buildcon Pvt Ltd,"Sector B, Satna",Satna,2017-12-04,admin@elitebuildconpvtltd.in,+91-9251692962,500000,Active
23PJSUI0331R1ZS,Satpura Construct Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2016-12-10,admin@satpuraconstructpvtltd.in,+91-9492114375,500000,Active
23OHJNE5566O1ZV,Satpura Projects Pvt Ltd,"Sector A, Dewas",Dewas,2014-08-14,admin@satpuraprojectspvtltd.in,+91-7392209695,5000000,Active
23DMKQZ6487L1ZO,Apex Construct Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2022-10-22,admin@apexconstructpvtltd.in,+91-8619391733,100000,Active
23JLFTD8085T1ZU,Malwa Infrastructure Pvt Ltd,"Sector A, Rewa",Rewa,2015-10-17,admin@malwainfrastructurepvtltd.in,+91-7513997942,500000,Active
23DKEZR6736S1Z3,Satpura Infrastructure Pvt Ltd,"Sector C, Jabalpur",Jabalpur,2021-06-27,admin@satpurainfrastructurepvtltd.in,+91-9434420917,500000,Active
23RJYEZ6204I1ZZ,Satpura Enterprises Pvt Ltd,"Sector B, Rewa",Rewa,2022-12-12,admin@satpuraenterprisespvtltd.in,+91-9661000152,500000,Active
23BCAZD9391K1ZF,Vindhya Projects Pvt Ltd,"Sector B, Gwalior",Gwalior,2021-01-18,admin@vindhyaprojectspvtltd.in,+91-9766529503,1000000,Active
23TTZMV9701I1ZI,MP Construct Pvt Ltd,"Sector A, Gwalior",Gwalior,2020-10-18,admin@mpconstructpvtltd.in,+91-9573779373,500000,Active
23MVXMP5477E1ZC,Vindhya Buildcon Pvt Ltd,"Sector B, Indore",Indore,2022-03-10,admin@vindhyabuildconpvtltd.in,+91-9735654209,100000,Active
23VLDTF6790W1ZO,Bhoj Buildcon Pvt Ltd,"Sector B, Satna",Satna,2017-04-15,admin@bhojbuildconpvtltd.in,+91-8830137568,1000000,Active
23OMDAU7577C1ZV,Narmada Infrastructure Pvt Ltd,"Sector C, Gwalior",Gwalior,2014-11-03,admin@narmadainfrastructurepvtltd.in,+91-7769798572,5000000,Active
23SIJXL7013Y1ZB,Bhoj Projects Pvt Ltd,"Sector B, Bhopal",Bhopal,2016-06-15,admin@bhojprojectspvtltd.in,+91-7212942112,500000,Active
23OYSON7624X1ZB,Narmada Construct Pvt Ltd,"Sector B, Sagar",Sagar,2015-06-08,admin@narmadaconstructpvtltd.in,+91-9095582598,500000,Active
23JMPNE1684V1Z7,Malwa Construct Pvt Ltd,"Sector B, Satna",Satna,2021-09-03,admin@malwaconstructpvtltd.in,+91-9419156625,500000,Active
23FRMWN5327F1Z1,Narmada Infrastructure Pvt Ltd,"Sector A, Rewa",Rewa,2016-05-13,admin@narmadainfrastructurepvtltd.in,+91-8567858979,1000000,Active
23SMQVH7822N1ZX,Satpura Construct Pvt Ltd,"Sector B, Ujjain",Ujjain,2016-07-19,admin@satpuraconstructpvtltd.in,+91-7206181709,5000000,Active
23ZGFOU8853S1Z1,Narmada Enterprises Pvt Ltd,"Sector C, Jabalpur",Jabalpur,2020-01-10,admin@narmadaenterprisespvtltd.in,+91-7965395053,5000000,Active
23FZPOG6074Z1ZI,Elite Infrastructure Pvt Ltd,"Sector C, Gwalior",Gwalior,2015-11-29,admin@eliteinfrastructurepvtltd.in,+91-9201299756,100000,Active
23CQHGH2573Q1Z9,Vindhya Buildcon Pvt Ltd,"Sector B, Indore",Indore,2022-09-08,admin@vindhyabuildconpvtltd.in,+91-9546125499,500000,Active
23DLTST0114O1Z1,Satpura Buildcon Pvt Ltd,"Sector A, Dewas",Dewas,2015-11-04,admin@satpurabuildconpvtltd.in,+91-7720151431,5000000,Active
23KOXQG2959I1ZQ,Satpura Associates Pvt Ltd,"Sector B, Satna",Satna,2022-04-05,admin@satpuraassociatespvtltd.in,+91-9268940092,500000,Active
23BOOLD7858U1ZQ,Elite Associates Pvt Ltd,"Sector C, Rewa",Rewa,2016-09-20,admin@eliteassociatespvtltd.in,+91-8529231279,5000000,Active
23EBLNM7625H1ZH,Malwa Enterprises Pvt Ltd,"Sector C, Sagar",Sagar,2018-02-10,admin@malwaenterprisespvtltd.in,+91-9968534759,5000000,Active
23EHOWP4519A1ZO,Narmada Buildcon Pvt Ltd,"Sector B, Ratlam",Ratlam,2016-10-20,admin@narmadabuildconpvtltd.in,+91-8689060223,1000000,Active
23PQRND9076T1ZL,Narmada Infrastructure Pvt Ltd,"Sector C, Gwalior",Gwalior,2019-11-09,admin@narmadainfrastructurepvtltd.in,+91-8366644679,500000,Active
23ZBQUR9427Z1Z2,Satpura Buildcon Pvt Ltd,"Sector C, Rewa",Rewa,2015-09-21,admin@satpurabuildconpvtltd.in,+91-8687630947,100000,Active
23WLYUO0809B1Z6,Malwa Projects Pvt Ltd,"Sector B, Ujjain",Ujjain,2019-07-28,admin@malwaprojectspvtltd.in,+91-8609972277,500000,Active
23VLJUW9369I1ZK,Satpura Buildcon Pvt Ltd,"Sector C, Dewas",Dewas,2019-01-16,admin@satpurabuildconpvtltd.in,+91-9313238112,500000,Active
23CMXKD0549Y1ZO,MP Enterprises Pvt Ltd,"Sector A, Indore",Indore,2018-01-07,admin@mpenterprisespvtltd.in,+91-9042530047,5000000,Active
23QUMJP6517U1ZW,Vindhya Construct Pvt Ltd,"Sector C, Bhopal",Bhopal,2020-05-29,admin@vindhyaconstructpvtltd.in,+91-8540976219,5000000,Active
23VGSNE8095M1ZF,Elite Construct Pvt Ltd,"Sector A, Gwalior",Gwalior,2020-04-28,admin@eliteconstructpvtltd.in,+91-9835606248,500000,Active
23JLPLF3681B1Z1,Bhoj Enterprises Pvt Ltd,"Sector C, Rewa",Rewa,2022-03-13,admin@bhojenterprisespvtltd.in,+91-7591237250,500000,Active
23EFJSN9420U1Z2,Bhoj Buildcon Pvt Ltd,"Sector C, Bhopal",Bhopal,2021-01-28,admin@bhojbuildconpvtltd.in,+91-7003241134,5000000,Active
23SYUPA3275X1ZS,Bhoj Infrastructure Pvt Ltd,"Sector B, Dewas",Dewas,2019-12-15,admin@bhojinfrastructurepvtltd.in,+91-8314172112,5000000,Active
23WMZEM2599N1ZC,MP Projects Pvt Ltd,"Sector A, Dewas",Dewas,2016-08-30,admin@mpprojectspvtltd.in,+91-9035341069,1000000,Active
23ELUML0866V1ZB,Narmada Buildcon Pvt Ltd,"Sector A, Indore",Indore,2016-02-19,admin@narmadabuildconpvtltd.in,+91-9972605915,5000000,Active
23MGCYQ6298C1ZQ,MP Buildcon Pvt Ltd,"Sector B, Ratlam",Ratlam,2015-09-30,admin@mpbuildconpvtltd.in,+91-7602682015,5000000,Active
23CZVVM3597S1ZJ,Elite Buildcon Pvt Ltd,"Sector C, Satna",Satna,2017-05-27,admin@elitebuildconpvtltd.in,+91-8844533499,5000000,Active
23YLASP7995X1ZU,Narmada Enterprises Pvt Ltd,"Sector B, Bhopal",Bhopal,2019-09-27,admin@narmadaenterprisespvtltd.in,+91-9509519890,500000,Active
23XVSTQ1913B1ZI,Apex Enterprises Pvt Ltd,"Sector B, Ratlam",Ratlam,2018-07-02,admin@apexenterprisespvtltd.in,+91-9322518625,1000000,Active
23ZXMIR7280G1ZJ,MP Buildcon Pvt Ltd,"Sector A, Indore",Indore,2016-10-30,admin@mpbuildconpvtltd.in,+91-7523464789,5000000,Active
23WLNNI9014T1ZH,Apex Buildcon Pvt Ltd,"Sector B, Ratlam",Ratlam,2020-06-17,admin@apexbuildconpvtltd.in,+91-8728529353,500000,Active
23MMGKV2636Z1ZO,Apex Projects Pvt Ltd,"Sector B, Ujjain",Ujjain,2020-01-14,admin@apexprojectspvtltd.in,+91-8617749882,100000,Active
23BIKZL7344R1ZI,MP Projects Pvt Ltd,"Sector A, Gwalior",Gwalior,2018-06-15,admin@mpprojectspvtltd.in,+91-7690775371,100000,Active
23NCVXB0227Y1ZE,Apex Projects Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2015-04-22,admin@apexprojectspvtltd.in,+91-9243663642,100000,Active
23EDGPB3686O1ZC,Malwa Buildcon Pvt Ltd,"Sector A, Ujjain",Ujjain,2022-03-02,admin@malwabuildconpvtltd.in,+91-8368603561,5000000,Active
23SBDDO8317D1ZQ,Satpura Enterprises Pvt Ltd,"Sector B, Bhopal",Bhopal,2019-01-10,admin@satpuraenterprisespvtltd.in,+91-9293672636,100000,Active
23VCNHG8983K1Z6,Elite Buildcon Pvt Ltd,"Sector A, Dewas",Dewas,2019-08-14,admin@elitebuildconpvtltd.in,+91-9504339664,5000000,Active
23SSAEB3993Z1Z3,Malwa Associates Pvt Ltd,"Sector B, Dewas",Dewas,2016-07-04,admin@malwaassociatespvtltd.in,+91-9752307411,100000,Active
23PDSUB6865K1ZW,Bhoj Enterprises Pvt Ltd,"Sector C, Dewas",Dewas,2021-01-04,admin@bhojenterprisespvtltd.in,+91-8222812014,5000000,Active
23IHIGE8902M1ZJ,Bhoj Projects Pvt Ltd,"Sector A, Dewas",Dewas,2019-01-29,admin@bhojprojectspvtltd.in,+91-9765934605,1000000,Active
23AMMCK0295L1ZV,Satpura Infrastructure Pvt Ltd,"Sector B, Sagar",Sagar,2018-09-15,admin@satpurainfrastructurepvtltd.in,+91-9151808381,100000,Active
23XGPMS3456X1ZR,Bhoj Infrastructure Pvt Ltd,"Sector A, Rewa",Rewa,2022-10-22,admin@bhojinfrastructurepvtltd.in,+91-7257990532,1000000,Active
23TYPZX5019M1ZN,Elite Enterprises Pvt Ltd,"Sector C, Jabalpur",Jabalpur,2021-01-23,admin@eliteenterprisespvtltd.in,+91-8361194535,500000,Active
23QCZVM6579O1ZX,Vindhya Buildcon Pvt Ltd,"Sector A, Sagar",Sagar,2021-06-02,admin@vindhyabuildconpvtltd.in,+91-9616270446,500000,Active
23OIGRI2849G1Z5,Narmada Construct Pvt Ltd,"Sector C, Ratlam",Ratlam,2014-02-25,admin@narmadaconstructpvtltd.in,+91-8660678259,100000,Active
23YGCBO0769E1Z6,Narmada Enterprises Pvt Ltd,"Sector C, Indore",Indore,2014-12-23,admin@narmadaenterprisespvtltd.in,+91-9761234051,5000000,Active
23YFHRZ3056R1ZK,Narmada Buildcon Pvt Ltd,"Sector A, Ratlam",Ratlam,2022-02-03,admin@narmadabuildconpvtltd.in,+91-7997028340,1000000,Active
23UBCUX2332M1Z1,Elite Infrastructure Pvt Ltd,"Sector C, Rewa",Rewa,2018-10-22,admin@eliteinfrastructurepvtltd.in,+91-8912984897,100000,Active
23FEHCO2361A1Z8,Elite Associates Pvt Ltd,"Sector B, Ujjain",Ujjain,2017-03-25,admin@eliteassociatespvtltd.in,+91-9561622941,1000000,Active
23DPBPK1694A1ZD,Elite Associates Pvt Ltd,"Sector C, Ratlam",Ratlam,2020-09-16,admin@eliteassociatespvtltd.in,+91-7952202914,100000,Active
23RHTAV9667B1ZT,MP Infrastructure Pvt Ltd,"Sector B, Ratlam",Ratlam,2016-07-13,admin@mpinfrastructurepvtltd.in,+91-9178482927,500000,Active
23ZLJYV3387D1Z6,Narmada Projects Pvt Ltd,"Sector A, Satna",Satna,2018-01-07,admin@narmadaprojectspvtltd.in,+91-8387593730,1000000,Active
23GPXVH1115O1ZZ,Malwa Associates Pvt Ltd,"Sector C, Ujjain",Ujjain,2017-06-27,admin@malwaassociatespvtltd.in,+91-9171116632,5000000,Active
23MVFJR6186R1Z3,Bhoj Associates Pvt Ltd,"Sector C, Bhopal",Bhopal,2018-02-13,admin@bhojassociatespvtltd.in,+91-9548793584,5000000,Active
23ROTQS2099R1Z5,Elite Buildcon Pvt Ltd,"Sector A, Rewa",Rewa,2014-10-25,admin@elitebuildconpvtltd.in,+91-8480402057,500000,Active
23ZEKND1081E1ZD,MP Construct Pvt Ltd,"Sector C, Sagar",Sagar,2015-07-20,admin@mpconstructpvtltd.in,+91-7019462031,1000000,Active
23QBESS8123P1Z5,Narmada Infrastructure Pvt Ltd,"Sector B, Dewas",Dewas,2022-02-09,admin@narmadainfrastructurepvtltd.in,+91-9509496829,5000000,Active
23MFIDL8751L1ZA,Narmada Buildcon Pvt Ltd,"Sector A, Dewas",Dewas,2019-07-24,admin@narmadabuildconpvtltd.in,+91-7393756310,100000,Active
23FLQIL3511U1Z9,Vindhya Infrastructure Pvt Ltd,"Sector B, Ratlam",Ratlam,2019-01-21,admin@vindhyainfrastructurepvtltd.in,+91-9539777834,500000,Active
23SOMNN2364T1ZM,Malwa Enterprises Pvt Ltd,"Sector A, Bhopal",Bhopal,2016-07-30,admin@malwaenterprisespvtltd.in,+91-9301686547,500000,Active
23QMFPN8128Q1ZA,Elite Associates Pvt Ltd,"Sector B, Rewa",Rewa,2017-01-24,admin@eliteassociatespvtltd.in,+91-9798624460,100000,Active
23MNCFK7864A1Z7,Satpura Buildcon Pvt Ltd,"Sector B, Ratlam",Ratlam,2021-09-23,admin@satpurabuildconpvtltd.in,+91-7758020008,100000,Active
23QJJWB6121F1ZZ,MP Buildcon Pvt Ltd,"Sector B, Sagar",Sagar,2022-07-06,admin@mpbuildconpvtltd.in,+91-8297150845,5000000,Active
23HBGGU8028G1ZG,Satpura Associates Pvt Ltd,"Sector B, Rewa",Rewa,2014-01-03,admin@satpuraassociatespvtltd.in,+91-7004180731,1000000,Active
23BLYXJ5579P1Z7,Apex Associates Pvt Ltd,"Sector A, Dewas",Dewas,2021-05-14,admin@apexassociatespvtltd.in,+91-8731869612,5000000,Active
23QNCQR2950J1Z7,Apex Associates Pvt Ltd,"Sector B, Ratlam",Ratlam,2020-10-03,admin@apexassociatespvtltd.in,+91-9013135168,5000000,Active
23FNOWS3130C1Z5,Satpura Associates Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2018-07-12,admin@satpuraassociatespvtltd.in,+91-7776379034,1000000,Active
23SXHFL2350K1Z1,Apex Buildcon Pvt Ltd,"Sector C, Satna",Satna,2018-12-12,admin@apexbuildconpvtltd.in,+91-7560543875,5000000,Active
23OCSGU1310K1ZF,Satpura Enterprises Pvt Ltd,"Sector B, Sagar",Sagar,2019-12-14,admin@satpuraenterprisespvtltd.in,+91-7464177808,1000000,Active
23EGTIG7637T1ZO,Vindhya Construct Pvt Ltd,"Sector C, Ujjain",Ujjain,2017-11-08,admin@vindhyaconstructpvtltd.in,+91-9634900753,1000000,Active
23ZIZKJ1338M1ZN,Narmada Associates Pvt Ltd,"Sector C, Rewa",Rewa,2017-12-16,admin@narmadaassociatespvtltd.in,+91-8553828786,1000000,Active
23EWRRN7390V1ZU,MP Infrastructure Pvt Ltd,"Sector A, Ujjain",Ujjain,2019-09-11,admin@mpinfrastructurepvtltd.in,+91-8206462869,1000000,Active
23BVCJM1026B1ZZ,Malwa Construct Pvt Ltd,"Sector B, Bhopal",Bhopal,2017-04-13,admin@malwaconstructpvtltd.in,+91-8614050341,100000,Active
23YNCDM9943N1ZJ,Satpura Projects Pvt Ltd,"Sector A, Ujjain",Ujjain,2019-12-29,admin@satpuraprojectspvtltd.in,+91-7154837545,5000000,Active
23ODXMZ4175A1Z7,Elite Projects Pvt Ltd,"Sector A, Indore",Indore,2021-03-21,admin@eliteprojectspvtltd.in,+91-7549234118,1000000,Active
23QMMWM8109E1Z5,Narmada Associates Pvt Ltd,"Sector C, Sagar",Sagar,2018-10-09,admin@narmadaassociatespvtltd.in,+91-7120716384,5000000,Active
23PZHLQ3758W1ZT,Narmada Projects Pvt Ltd,"Sector B, Ratlam",Ratlam,2014-06-11,admin@narmadaprojectspvtltd.in,+91-8942026844,500000,Active
23YHPOR8951Z1Z8,Bhoj Buildcon Pvt Ltd,"Sector C, Sagar",Sagar,2015-08-19,admin@bhojbuildconpvtltd.in,+91-8495128888,1000000,Active
23GESFJ6779I1ZQ,Malwa Construct Pvt Ltd,"Sector C, Gwalior",Gwalior,2019-05-15,admin@malwaconstructpvtltd.in,+91-7219404622,1000000,Active
23AAJGN5926R1ZI,Bhoj Infrastructure Pvt Ltd,"Sector B, Jabalpur",Jabalpur,2017-10-27,admin@bhojinfrastructurepvtltd.in,+91-9299163479,500000,Active
23DEURP0041Y1ZO,Narmada Projects Pvt Ltd,"Sector C, Satna",Satna,2018-04-06,admin@narmadaprojectspvtltd.in,+91-9878110880,500000,Active
